match_set,season,match_date,round,hometeam,awayteam,location,judge_main,judge_sub,maxset,set_num,match_winner,set_winner,match_loser,set_loser,set_length,score_HT,score_AT,home_rot1,home_rot2,home_rot3,home_rot4,home_rot5,home_rot6,home_li1,home_li2,away_rot1,away_rot2,away_rot3,away_rot4,away_rot5,away_rot6,away_li1,away_li2
017_2_1,20202021,20201017,1R,HD,GS,수원,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_2_2,20202021,20201017,1R,HD,GS,수원,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_2_3,20202021,20201017,1R,HD,GS,수원,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_2_4,20202021,20201017,1R,HD,GS,수원,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_2_5,20202021,20201017,1R,HD,GS,수원,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_4_1,20202021,20201018,1R,KG,IB,대전,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_4_2,20202021,20201018,1R,KG,IB,대전,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_4_3,20202021,20201018,1R,KG,IB,대전,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_4_4,20202021,20201018,1R,KG,IB,대전,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_7_1,20202021,20201021,1R,GS,HK,서울,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_7_2,20202021,20201021,1R,GS,HK,서울,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_7_3,20202021,20201021,1R,GS,HK,서울,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_7_4,20202021,20201021,1R,GS,HK,서울,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_10_1,20202021,20201023,1R,HD,EX,수원,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_10_2,20202021,20201023,1R,HD,EX,수원,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_10_3,20202021,20201023,1R,HD,EX,수원,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_12_1,20202021,20201024,1R,HK,KG,인천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_12_2,20202021,20201024,1R,HK,KG,인천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_12_3,20202021,20201024,1R,HK,KG,인천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_12_4,20202021,20201024,1R,HK,KG,인천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_14_1,20202021,20201025,1R,IB,GS,화성,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_14_2,20202021,20201025,1R,IB,GS,화성,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_14_3,20202021,20201025,1R,IB,GS,화성,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_14_4,20202021,20201025,1R,IB,GS,화성,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_14_5,20202021,20201025,1R,IB,GS,화성,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_17_1,20202021,20201028,1R,KG,EX,대전,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_17_2,20202021,20201028,1R,KG,EX,대전,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_17_3,20202021,20201028,1R,KG,EX,대전,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_20_1,20202021,20201030,1R,IB,HD,화성,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_20_2,20202021,20201030,1R,IB,HD,화성,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_20_3,20202021,20201030,1R,IB,HD,화성,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_20_4,20202021,20201030,1R,IB,HD,화성,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_22_1,20202021,20201031,1R,HK,EX,인천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_22_2,20202021,20201031,1R,HK,EX,인천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_22_3,20202021,20201031,1R,HK,EX,인천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_22_4,20202021,20201031,1R,HK,EX,인천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_22_5,20202021,20201031,1R,HK,EX,인천,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_24_1,20202021,20201101,1R,GS,KG,서울,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_24_2,20202021,20201101,1R,GS,KG,서울,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_24_3,20202021,20201101,1R,GS,KG,서울,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_24_4,20202021,20201101,1R,GS,KG,서울,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_26_1,20202021,20201103,1R,HD,HK,수원,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_26_2,20202021,20201103,1R,HD,HK,수원,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_26_3,20202021,20201103,1R,HD,HK,수원,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_26_4,20202021,20201103,1R,HD,HK,수원,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_30_1,20202021,20201106,1R,EX,GS,김천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_30_2,20202021,20201106,1R,EX,GS,김천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_30_3,20202021,20201106,1R,EX,GS,김천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_32_1,20202021,20201107,1R,HK,IB,인천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_32_2,20202021,20201107,1R,HK,IB,인천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_32_3,20202021,20201107,1R,HK,IB,인천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_34_1,20202021,20201108,1R,KG,HD,대전,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_34_2,20202021,20201108,1R,KG,HD,대전,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_34_3,20202021,20201108,1R,KG,HD,대전,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_36_1,20202021,20201110,1R,IB,EX,화성,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_36_2,20202021,20201110,1R,IB,EX,화성,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_36_3,20202021,20201110,1R,IB,EX,화성,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_36_4,20202021,20201110,1R,IB,EX,화성,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_38_1,20202021,20201111,2R,GS,HK,서울,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_38_2,20202021,20201111,2R,GS,HK,서울,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_38_3,20202021,20201111,2R,GS,HK,서울,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_38_4,20202021,20201111,2R,GS,HK,서울,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_38_5,20202021,20201111,2R,GS,HK,서울,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_41_1,20202021,20201113,2R,IB,KG,화성,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_41_2,20202021,20201113,2R,IB,KG,화성,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_41_3,20202021,20201113,2R,IB,KG,화성,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_41_4,20202021,20201113,2R,IB,KG,화성,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_41_5,20202021,20201113,2R,IB,KG,화성,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_43_1,20202021,20201114,2R,GS,HD,서울,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_43_2,20202021,20201114,2R,GS,HD,서울,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_43_3,20202021,20201114,2R,GS,HD,서울,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_45_1,20202021,20201115,2R,EX,HK,김천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_45_2,20202021,20201115,2R,EX,HK,김천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_45_3,20202021,20201115,2R,EX,HK,김천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_45_4,20202021,20201115,2R,EX,HK,김천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_47_1,20202021,20201117,2R,HD,IB,수원,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_47_2,20202021,20201117,2R,HD,IB,수원,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_47_3,20202021,20201117,2R,HD,IB,수원,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_47_4,20202021,20201117,2R,HD,IB,수원,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_51_1,20202021,20201120,2R,KG,EX,대전,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_51_2,20202021,20201120,2R,KG,EX,대전,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_51_3,20202021,20201120,2R,KG,EX,대전,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_53_1,20202021,20201121,2R,GS,IB,서울,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_53_2,20202021,20201121,2R,GS,IB,서울,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_53_3,20202021,20201121,2R,GS,IB,서울,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_55_1,20202021,20201122,2R,HK,HD,인천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_55_2,20202021,20201122,2R,HK,HD,인천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_55_3,20202021,20201122,2R,HK,HD,인천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_57_1,20202021,20201124,2R,KG,GS,대전,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_57_2,20202021,20201124,2R,KG,GS,대전,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_57_3,20202021,20201124,2R,KG,GS,대전,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_57_4,20202021,20201124,2R,KG,GS,대전,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_57_5,20202021,20201124,2R,KG,GS,대전,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_61_1,20202021,20201127,2R,IB,HK,화성,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_61_2,20202021,20201127,2R,IB,HK,화성,,,,2,,,,,,,,,,,,,,,,,,,,,,,
