year_player,year,player_id,name,current_team,position_reg,position_real,backnum,salary_total,salary_base,salary_opt,isTraded,previous_team,trade_date
2020_20_1_4,2020,20_1_4,김정아,EX,L,L,14,45000000,45000000,0,0,,
2020_11_2_4,2020,11_2_4,문정원,EX,R,L,12,190000000,160000000,30000000,0,,
2020_10_7_5,2020,10_7_5,박정아,EX,L,L,9,580000000,430000000,150000000,0,,
2020_14_2_5,2020,14_2_5,박혜미,EX,Li,Li,15,46000000,43000000,3000000,0,,
2020_07_1_1,2020,07_1_1,배유나,EX,C,C,10,265000000,215000000,50000000,0,,
2020_19_1_4,2020,19_1_4,안예림,EX,S,S,3,40000000,40000000,0,0,,
2020_17_1_4,2020,17_1_4,우수민,EX,L,L,17,38000000,35000000,3000000,0,,
2020_13_1_3,2020,13_1_3,이고은,EX,S,S,6,170000000,160000000,10000000,0,,
2020_04_1_3,2020,04_1_3,임명옥,EX,Li,Li,8,240000000,180000000,60000000,0,,
2020_14_1_5,2020,14_1_5,전새얀,EX,L,L,4,85000000,70000000,15000000,0,,
2020_99_9_1,2020,99_9_1,정대영,EX,C,C,13,140000000,95000000,45000000,0,,
2020_20_3_4,2020,20_3_4,정효진,EX,L,L,18,30000000,30000000,0,0,,
2020_18_1_6,2020,18_1_6,최민지,EX,C,C,1,43000000,40000000,3000000,0,,
2020_20_0_3,2020,20_0_3,켈시,EX,R,R,11,240000000,240000000,0,0,,
2020_14_1_3,2020,14_1_3,하혜진,EX,C,C,7,100000000,100000000,0,0,,
2020_18_3_3,2020,18_3_3,한송희,EX,L,L,16,38000000,35000000,3000000,0,,
2020_15_1_1,2020,15_1_1,강소휘,GS,L,L,10,350000000,350000000,0,0,,
2020_19_1_3,2020,19_1_3,권민지,GS,L,C,18,55000000,43000000,12000000,0,,
2020_10_1_2,2020,10_1_2,김유리,GS,C,C,16,160000000,109000000,51000000,0,,
2020_20_1_1,2020,20_1_1,김지원,GS,S,S,14,45000000,45000000,0,0,,
2020_15_3_1,2020,15_3_1,김채원,GS,Li,Li,3,45000000,33000000,12000000,0,,
2020_18_3_2,2020,18_3_2,김해빈,GS,Li,Li,8,50000000,38000000,12000000,0,,
2020_19_0_3,2020,19_0_3,러츠,GS,R,R,13,360000000,360000000,0,0,,
2020_14_1_4,2020,14_1_4,문명화,GS,C,C,15,80000000,70000000,10000000,0,,
2020_18_1_5,2020,18_1_5,문지윤,GS,R,C,17,50000000,38000000,12000000,0,,
2020_18_1_3,2020,18_1_3,박혜민,GS,L,L,11,60000000,48000000,12000000,0,,
2020_16_1_3,2020,16_1_3,안혜진,GS,S,S,7,100000000,73000000,27000000,0,,
2020_20_2_6,2020,20_2_6,오세연,GS,C,C,20,35,40000000,0,0,,
2020_16_1_4,2020,16_1_4,유서연,GS,R,L,19,70000000,58000000,12000000,0,,
2020_12_1_1,2020,12_1_1,이소영,GS,L,L,1,350000000,350000000,0,0,,
2020_17_1_2,2020,17_1_2,이원정,GS,S,S,6,60000000,48000000,12000000,0,,
2020_19_2_4,2020,19_2_4,이현,GS,S,Li,2,45000000,33000000,12000000,0,,
2020_13_3_5,2020,13_3_5,한다혜,GS,Li,Li,4,100000000,100000000,0,0,,
